account_id,account_name,Normalized_Emissions,z_score,Primary activity,Year
5584,Endesa,0.0011516262210165,2.449188066224497,0,2013
4256,"Daiwa House Industry Co., Ltd.",0.000612323425889,2.404660062868768,Residential building construction,2013
15941,Rolls-Royce,0.0060948448113875,2.6433184630863003,Engines & motors,2013
8332,"Hitachi Construction Machinery Co., Ltd.",0.005022710325372,2.285438716438056,"Agriculture, construction & mining machinery",2013
4663,Deutsche Post AG,0.000543772419056,2.158549105662664,Logistics - 3rd party,2013
9577,Itausa Investimentos Itau S.A.,0.0001374126561722,3.5106046407705027,Asset managers,2013
19080,thyssenkrupp AG,8.438247111449218e-05,2.7591326740971227,Commercial services,2013
6113,Exelon Corporation,0.0047421731255771,2.7915037140764967,CCGT generation,2013
6305,FERROVIAL,0.0013762814685552,2.8787570274969307,Transportation infrastructure & other construction,2013
13161,NH Hotel Group,0.8173763432585582,2.449469506911693,Hotels & lodging,2013
14106,Outokumpu Oyj,0.0004801282156878,2.392243752507459,Iron & steel,2013
10629,Legal and General Investment Management,4.760440428118888e-05,6.376249272192736,Insurance,2013
1581,Bayer AG,0.0007928833034044,3.884033153587318,Pharmaceuticals,2013
2297,British Land Company,0.0124061454232281,4.524780584793257,REIT,2013
14712,Philip Morris International,0.0001602478136911,2.222389879808184,Tobacco products,2013
6086,EVN AG,0.3116459754951236,4.35790408371673,Electricity networks,2013
11328,Marks and Spencer Group plc,0.0006045357177961,2.554158170368692,"Supermarkets, food & drugstores",2013
18574,Tesco,0.0005553410857312,2.2968901429750126,"Supermarkets, food & drugstores",2013
5194,Eaton Corporation,0.004962446747709,2.7932007273153627,Electrical equipment,2013
12144,Mitsubishi Electric Corporation,0.0046531340558395,2.5872511540617777,Electrical equipment,2013
23110,Koninklijke DSM,0.0018695499167268,2.390642261718043,Specialty chemicals,2013
22257,Ted Baker Plc,0.0001582965990042,2.848056090924016,Apparel stores,2013
3688,Dynatrace,0.0270504991047997,3.162048493193023,Software,2013
16794,Sharp Corporation,0.0017359889327155,2.939059131194035,Electronic components,2013
19197,Toshiba Corporation,0.0017255724990975,2.9180784829906368,Electronic components,2013
356,Aetna Inc.,2.2290282611545506e-06,2.081183955136567,Health care services,2013
14709,Koninklijke Philips NV,0.0121841037541892,3.161892453446374,Medical equipment,2013
1947,Bonduelle,0.0008787009390319,2.1568509410498784,Other food processing,2013
10156,Kingfisher,0.0008323810669732,2.161995294158488,Specialist retail,2013
8566,Honda Motor Company,0.0035749567382629,2.178506476799402,Automobiles,2013
36581,Aurizon Holdings,3.3087465509258694e-05,2.0369792595647045,Rail freight,2013
10670,LG Electronics,0.0022268294479018,2.931034470678587,Electronic equipment,2013
14292,Panasonic Corporation,0.0019030407936827,2.4318640226855117,Electronic equipment,2013
